penalty,n,slope_pp_per_decade,slope,intercept,R2_penalized,rmse,loo_median_fold_x,loo_within_2x,loo_within_3x,PI90_factor_x,predB_deepseek-v4-flash,ECR_deepseek-v4-flash,predB_deepseek-v4-pro,ECR_deepseek-v4-pro,predB_deepseek-v4-flash-think,ECR_deepseek-v4-flash-think,predB_deepseek-v4-pro-think,ECR_deepseek-v4-pro-think,predB_gemini-3-flash,predB_gemini-3-flash-think,predB_gemini-3.1-pro,predB_gemini-3.1-flash-lite,predB_gemini-2.5-flash,predB_gemini-2.5-pro
0.0,89,15.523793962477313,0.15523793962477314,0.24086953199184477,0.8946602945423388,0.050779290883949654,1.5132286767783694,0.7191011235955056,0.8651685393258427,3.5013818617268413,1556.8783558566004,5.481966041748595,170.05808150159152,0.10628630093849475,1194.603797133746,4.206351398358262,2050.62714856394,1.2816419678524633,6576.914248462585,8754.985533797199,7791.873355278838,2050.62714856394,207.9795699333154,2588.891192968367
-0.25,89,16.469983327169306,0.16469983327169307,0.1808315378913256,0.9265875727750574,0.0441933078294744,1.5126344667055376,0.7640449438202247,0.9213483146067416,2.7953846266967473,1343.8694683514107,4.731934747716236,264.56207801363865,0.16535129875852422,1044.3606849468915,3.677326355446802,1863.7616229020332,1.1648510143137714,5703.2510594808045,7375.602615223859,9349.722937136661,1808.7547428664338,247.9349677752784,1988.7499222132635
-0.5,89,16.48902351225681,0.16489023512256812,0.1572749457349295,0.9284151106382073,0.043647192090160734,1.5761978207795007,0.7640449438202247,0.9325842696629213,2.7568653668310716,1299.6458424473008,4.576217755096131,346.6172052082684,0.21663575325516785,978.0617357518711,3.443879351238984,1889.1687361802171,1.1807304601126363,6705.331940474907,8226.667538368709,12445.06642524566,1726.9659511749553,258.26138566122415,1908.1066095805077
-1.0,89,16.334504488465317,0.16334504488465318,0.12943454035490137,0.9272059392657056,0.043630242741628536,1.662599296741444,0.7303370786516854,0.9438202247191011,2.7823329614539563,1007.5037119864812,3.5475482816425408,487.9782056945474,0.3049863785590923,948.439142377879,3.3395744449925324,1617.2280922718871,1.01076755766993,7857.980934492231,10312.840636609742,18869.05560482759,1390.523434068528,248.55271884314215,1462.3207203131212
-1.5,89,16.058159878190313,0.16058159878190315,0.11232050696589796,0.9197983597271773,0.04520254436924214,1.6854145489085375,0.651685393258427,0.9325842696629213,2.940002437153998,1050.4831849701566,3.6988844541202712,623.0675682405139,0.38941723015032137,1008.3159513551612,3.550408279419583,1807.7538609872574,1.1298461631170365,8487.991600501535,11962.359649597782,26729.69649781284,1590.5152489380364,242.83338649254642,1450.4567572852914
-2.0,89,15.769166487804725,0.15769166487804726,0.0994695446460131,0.9139203955349718,0.04613457018417462,1.6590016425353424,0.6629213483146067,0.9213483146067416,3.0673592039738464,1058.3530072779363,3.726595096049073,758.0227187869069,0.47376419924181706,1015.1074319757156,3.574321943576465,2041.726497556019,1.2760790609725126,8701.955466652364,13206.941799057058,36322.59575435241,1727.919087362516,223.72519998972274,1524.64165067182
-3.0,89,15.084177130983814,0.15084177130983814,0.08318976505521067,0.9035481959046595,0.046981073227958005,1.6407462090022547,0.6741573033707865,0.8876404494382022,3.2976623165743497,978.4172007323724,3.4451309884942702,1044.5664312487206,0.6528540195304507,936.6616843967283,3.2981045225236922,2418.5582476791383,1.511598904799462,8474.60793001976,15104.00628181016,65106.82398026703,1882.105390125432,219.6765672115653,1546.7067493024422
