lambda,n,slope,intercept,r_squared,rmse,loo_median_fold,loo_within_2x,loo_within_3x,pi90_factor
0.0,89,0.1492220805913925,0.21805265070118698,0.9074979198524369,0.04541588852312178,1.6088767858827138,0.7078651685393258,0.8539325842696629,3.209071320514817
-0.25,89,0.15100105996468832,0.17776674746709512,0.918770869134142,0.04280101660018225,1.5383918200544173,0.7078651685393258,0.898876404494382,2.962113574509251
-0.5,89,0.14934624304287084,0.15846022878116792,0.9195705878245598,0.04210474165890748,1.540946781085469,0.7078651685393258,0.8876404494382022,2.944898647246589
-1.0,89,0.14728968921681587,0.1323677528527794,0.9170782274396242,0.04222068126092489,1.5949394045917065,0.6853932584269663,0.8764044943820225,2.998675576821161
-1.5,89,0.14326104090510736,0.11658478757725352,0.9073354142824422,0.043643830377354975,1.6412477750790082,0.6404494382022472,0.8764044943820225,3.212693958239492
-2.0,89,0.13875219029470137,0.10705855621018065,0.9012429505546433,0.04378493949484195,1.6871680695753357,0.6629213483146067,0.8876404494382022,3.3499050528259002
-3.0,89,0.13218057358274887,0.09196341725533963,0.8891743031843198,0.044485267819193645,1.644178091122203,0.6404494382022472,0.8314606741573034,3.630369112887846
